PostalCode,Province,District,SubDistrict,AddressCode
10700,กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์,102006
10700,กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี,102007
10700,กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์,102009
10150,กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,102105
10150,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,102107
10160,กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,102201
10160,กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน,102202
10160,กรุงเทพมหานคร,ภาษีเจริญ,บางจาก,102206
10160,กรุงเทพมหานคร,ภาษีเจริญ,บางแวก,102207
10160,กรุงเทพมหานคร,ภาษีเจริญ,คลองขวาง,102208
10160,กรุงเทพมหานคร,ภาษีเจริญ,ปากคลองภาษีเจริญ,102209
10160,กรุงเทพมหานคร,ภาษีเจริญ,คูหาสวรรค์,102210
10160,กรุงเทพมหานคร,หนองแขม,หนองแขม,102302
10160,กรุงเทพมหานคร,หนองแขม,หนองค้างพลู,102303
10140,กรุงเทพมหานคร,ราษฎร์บูรณะ,ราษฎร์บูรณะ,102401
10140,กรุงเทพมหานคร,ราษฎร์บูรณะ,บางปะกอก,102402
10700,กรุงเทพมหานคร,บางพลัด,บางพลัด,102501
10700,กรุงเทพมหานคร,บางพลัด,บางอ้อ,102502
10700,กรุงเทพมหานคร,บางพลัด,บางบำหรุ,102503
10700,กรุงเทพมหานคร,บางพลัด,บางยี่ขัน,102504
10400,กรุงเทพมหานคร,ดินแดง,ดินแดง,102601
10400,กรุงเทพมหานคร,ดินแดง,รัชดาภิเษก,102602
10240,กรุงเทพมหานคร,บึงกุ่ม,คลองกุ่ม,102701
10240,กรุงเทพมหานคร,บึงกุ่ม,นวมินทร์,102704
10240,กรุงเทพมหานคร,บึงกุ่ม,นวลจันทร์,102705
10120,กรุงเทพมหานคร,สาทร,ทุ่งวัดดอน,102801
10120,กรุงเทพมหานคร,สาทร,ยานนาวา,102802
10120,กรุงเทพมหานคร,สาทร,ทุ่งมหาเมฆ,102803
10800,กรุงเทพมหานคร,บางซื่อ,บางซื่อ,102901
10800,กรุงเทพมหานคร,บางซื่อ,วงศ์สว่าง,102902
10900,กรุงเทพมหานคร,จตุจักร,ลาดยาว,103001
10900,กรุงเทพมหานคร,จตุจักร,เสนานิคม,103002
10900,กรุงเทพมหานคร,จตุจักร,จันทรเกษม,103003
10900,กรุงเทพมหานคร,จตุจักร,จอมพล,103004
10900,กรุงเทพมหานคร,จตุจักร,จตุจักร,103005
10120,กรุงเทพมหานคร,บางคอแหลม,บางคอแหลม,103101
10120,กรุงเทพมหานคร,บางคอแหลม,วัดพระยาไกร,103102
10120,กรุงเทพมหานคร,บางคอแหลม,บางโคล่,103103
10250,กรุงเทพมหานคร,ประเวศ,ประเวศ,103201
10250,กรุงเทพมหานคร,ประเวศ,หนองบอน,103202
10250,กรุงเทพมหานคร,ประเวศ,ดอกไม้,103203
10110,กรุงเทพมหานคร,คลองเตย,คลองเตย,103301
10110,กรุงเทพมหานคร,คลองเตย,คลองตัน,103302
10110,กรุงเทพมหานคร,คลองเตย,พระโขนง,103303
10250,กรุงเทพมหานคร,สวนหลวง,สวนหลวง,103401
10250,กรุงเทพมหานคร,สวนหลวง,อ่อนนุช,103402
10250,กรุงเทพมหานคร,สวนหลวง,พัฒนาการ,103403
10150,กรุงเทพมหานคร,จอมทอง,บางขุนเทียน,103501
10150,กรุงเทพมหานคร,จอมทอง,บางค้อ,103502
10150,กรุงเทพมหานคร,จอมทอง,บางมด,103503
10150,กรุงเทพมหานคร,จอมทอง,จอมทอง,103504
10210,กรุงเทพมหานคร,ดอนเมือง,สีกัน,103602
10210,กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง,103604
10210,กรุงเทพมหานคร,ดอนเมือง,สนามบิน,103605
